player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
29,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,90.0,,,,,,,,,,40.0,,,,4.0,,,,,0.0,0.0,10.0,,0.0,,,,,,,,,,0.0,4.0,2.0,,,0.0,23.0,10.0,,0.0,,1.0,,,,,,0,90,2,0.0,0,,,,,,,
46,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,11.0,0.0,0.0,,,,,,,2.0,18.0,15.0,100.0,0.0,2.0,,,,,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,50.0,1.0,100.0,,0.0,,,,,,,,1.0,,,,,,,,,80,90,0,0.0,0,,,,,,,
37,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,90.0,0.0,0.0,1.0,,,0.0,,,1.0,45.0,39.0,95.0,0.0,3.0,,,3.0,75.0,0.0,1.0,8.0,0.0,2.0,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,0,90,2,0.0,0,,,,,,,
45,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,73.0,0.0,1.0,1.0,,,1.0,,,3.0,26.0,4.0,40.0,4.0,1.0,4.0,80.0,,,1.0,1.0,1.0,0.0,0.0,,2.0,4.0,9.0,4.0,33.0,0.0,0.0,2.0,3.0,,,,,,,,3.0,,,,,,,,,0,72,2,0.0,0,,,,,,,
33,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,11.0,0.0,0.0,,,,,,,0.0,12.0,10.0,83.0,0.0,1.0,,,1.0,33.0,0.0,0.0,2.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,80,90,0,0.0,0,,,,,,,
41,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,90.0,0.0,0.0,2.0,,,0.0,,,4.0,63.0,30.0,67.0,1.0,8.0,0.0,0.0,2.0,100.0,2.0,0.0,5.0,0.0,0.0,,3.0,6.0,9.0,5.0,38.0,1.0,50.0,3.0,1.0,,,,,,,,4.0,,,,,,,,,0,90,2,0.0,0,,,,,,,
32,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,90.0,0.0,0.0,,,,,,,0.0,73.0,32.0,76.0,1.0,7.0,1.0,50.0,5.0,83.0,2.0,0.0,4.0,0.0,5.0,1.0,1.0,2.0,2.0,2.0,67.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,0,90,2,0.0,0,,,,,,,
56,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,18.0,0.0,0.0,,,,,,,1.0,7.0,5.0,71.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,100.0,,1.0,,,,,,,,0.0,,,,,,,,,72,90,0,0.0,0,,,,,,,
34,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,79.0,0.0,0.0,,,,,,,0.0,35.0,23.0,88.0,0.0,3.0,,,1.0,50.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,3.0,3.0,2.0,50.0,1.0,50.0,,1.0,,,,,,,,1.0,,,,,,,,,0,80,2,0.0,0,,,,,,,
47,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,72.0,0.0,0.0,2.0,,,1.0,,,1.0,31.0,19.0,90.0,0.0,2.0,,,,,0.0,2.0,3.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,,,,,,,,,0,72,2,0.0,0,,,,,,,
36,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,90.0,0.0,0.0,,,,,,,4.0,67.0,27.0,77.0,2.0,2.0,1.0,50.0,,,4.0,0.0,4.0,0.0,1.0,,1.0,11.0,5.0,11.0,69.0,0.0,,2.0,0.0,,,,,,,,0.0,,,,,,,,,0,90,2,0.0,0,,,,,,,
54,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,79.0,0.0,0.0,1.0,,,0.0,,,1.0,30.0,12.0,67.0,0.0,2.0,,,1.0,50.0,3.0,0.0,2.0,0.0,0.0,,1.0,3.0,6.0,3.0,33.0,0.0,,,4.0,,,,,,,,2.0,,,,,,,,,0,80,2,0.0,0,,,,,,,
35,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,18.0,0.0,0.0,,,,,,,0.0,18.0,12.0,92.0,0.0,1.0,,,,,1.0,0.0,4.0,0.0,1.0,,0.0,2.0,,2.0,100.0,0.0,,1.0,0.0,,,,,,,,0.0,,,,,,,,,72,90,0,0.0,0,,,,,,,
193,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,2,0.0,0,,,,,,,
39,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,2,0.0,0,,,,,,,
51,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,90.0,0.0,0.0,2.0,,,1.0,,,6.0,39.0,20.0,80.0,1.0,4.0,0.0,0.0,,,1.0,0.0,6.0,0.0,0.0,,2.0,3.0,6.0,3.0,33.0,0.0,,2.0,2.0,,,,,,,,2.0,,,,,,,,,0,90,2,0.0,0,,,,,,,
50,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,2,0.0,0,,,,,,,
52,26-27-uefa-super-cup-paris-saint-germain-vs-aston-villa-2026-08-12,17.0,0.0,0.0,,,,,,,3.0,18.0,9.0,64.0,0.0,1.0,,,,,1.0,0.0,2.0,0.0,0.0,,0.0,2.0,1.0,2.0,67.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,72,90,0,0.0,0,,,,,,,
