id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
32,a,,,4.5,424,95,0,0,0,0,8.5,53,21,0,0,3.3,125,48,0,0,0.0,102,67,0.0,26.0,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.03,0.09,0.12,1.36,0.0,65,29,0.0,49,6,0.0,136,28,0.0,67,13,1.0,,,1,,Matty,Cash,Cash,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.24,1.13,1.01,5.55,0,0,0
33,a,,,4.5,412,86,0,0,0,0,0.3,315,117,0,0,2.9,178,73,0,0,0.0,90,58,0.0,11.1,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.09,0.03,0.12,1.59,0.0,212,81,0.0,256,85,0.0,226,68,0.0,255,81,,,,1,,Tyrone,Mings,Mings,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.2,1.57,1.02,7.28,0,0,0
34,a,,,4.5,451,116,0,0,0,0,0.4,292,109,0,0,3.0,167,70,0,0,0.0,129,88,0.0,14.2,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.07,0.02,0.09,1.23,0.0,193,74,0.0,290,99,0.0,251,79,0.0,260,85,,,,1,,Pau,Torres,Pau,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.27,1.02,0.97,6.03,0,0,0
35,a,,,5.0,354,207,0,0,0,0,0.1,472,195,0,0,1.4,339,153,0,0,0.0,331,94,0.0,8.0,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1.33,0.0,288,133,0.0,277,152,0.0,322,164,0.0,309,147,,,,1,,Lamare,Bogarde,Bogarde,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.17,1.47,0.95,5.18,0,0,0
36,a,,,4.5,457,121,0,0,0,0,0.9,200,73,0,0,1.8,299,111,0,0,0.0,135,93,0.0,12.0,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.07,0.14,0.21,1.51,0.0,180,71,0.0,90,21,0.0,130,25,0.0,142,47,,,,1,,Ian,Maatsen,Maatsen,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.11,1.53,0.96,7.25,0,0,0
37,a,,,4.5,421,92,0,0,0,0,0.2,335,126,0,0,1.7,311,114,0,0,0.0,99,64,0.0,6.4,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.03,0.01,0.04,1.52,0.0,262,99,0.0,302,103,0.0,307,106,0.0,307,106,,,,1,,Victor,Lindelöf,Lindelöf,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.1,1.43,1.05,5.16,0,0,0
38,a,,,4.0,587,190,0,0,0,0,1.7,146,61,0,0,0.8,395,132,0,0,0.0,65,45,0.0,1.2,0,0,0,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.01,0.01,2.97,0.0,360,125,0.0,359,126,0.0,348,126,0.0,369,128,,,,1,,Andrés,García,A.García,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,3.25,1.08,10.84,0,0,0
39,a,,,4.0,584,188,0,0,0,0,0.8,204,76,0,0,0.0,451,168,0,0,0.0,62,43,0.0,0.0,0,0,0,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446,168,0.0,432,168,0.0,414,165,0.0,448,168,,,,1,,Kosta,Nedeljkovic,Nedeljkovic,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
41,a,,,6.0,65,43,0,0,0,0,1.3,170,55,0,0,2.8,199,75,0,0,0.0,492,193,0.0,17.0,0,0,0,0,0,2.1,,0.0,0.0,0.0,0.0,0.17,0.11,0.28,1.44,0.0,144,55,0.0,77,58,0.0,67,40,0.0,87,51,,1.0,1.0,1,,Emiliano,Buendía Stati,Buendía,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.15,1.23,1.08,10.11,0,0,0
44,a,,,5.5,140,87,0,0,0,0,0.1,400,154,0,0,1.6,325,143,0,0,0.0,399,138,0.0,3.8,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.1,0.29,0.39,1.41,0.0,319,145,0.0,192,125,0.0,263,139,0.0,288,139,,,,1,,Leon,Bailey,Bailey,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,1.8,0.6,9.6,0,0,0
46,a,,,5.0,228,141,0,0,0,0,0.2,358,127,0,0,2.7,204,78,0,0,0.0,205,28,0.0,11.2,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.17,0.13,0.3,1.41,0.0,234,104,0.0,187,123,0.0,161,86,0.0,226,115,,,,1,,Ross,Barkley,Barkley,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.11,1.6,0.75,7.89,0,0,0
47,a,100.0,,5.0,280,167,0,0,0,0,0.3,320,108,0,0,3.4,111,43,0,0,0.0,257,54,0.0,12.2,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.03,0.05,0.08,1.33,0.0,190,81,0.0,141,97,0.0,253,135,0.0,212,108,,,,1,,Boubacar,Kamara,Kamara,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.32,0.96,1.09,9.51,0,0,0
48,i,0.0,,5.0,306,181,0,0,0,0,0.0,534,224,0,0,3.0,170,64,0,0,0.0,283,68,0.0,15.2,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.09,0.04,0.13,1.46,0.0,148,56,0.0,203,130,0.0,175,94,0.0,185,93,,,,1,,Amadou,Onana,Onana,Knee injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.31,1.33,1.08,11.23,0,0,0
49,u,0.0,,5.0,318,186,0,0,0,0,0.0,575,247,0,0,0.0,529,219,0,0,0.0,295,73,0.0,0.0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529,219,0.0,528,219,0.0,524,218,0.0,529,219,,,,1,,Samuel,Iling-Junior,Iling Jr,Has joined Bolton Wanderers on loan for the rest of the season,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
51,a,,,4.5,507,255,0,0,0,0,0.5,266,85,0,0,1.0,371,169,0,0,0.0,185,19,0.0,0.4,0,0,0,0,0,1.0,,0.0,0.0,0.0,0.0,0.14,0.04,0.18,2.2,0.0,492,197,0.0,369,185,0.0,353,179,0.0,392,184,,,,1,,George,Hemmings,George Hemmings,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,3.6,0,0,0
52,a,,,5.0,388,233,0,0,0,0,0.0,507,213,0,0,1.0,385,181,0,0,0.0,365,120,0.0,0.6,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.1,0.1,0.2,3.58,0.0,384,179,0.0,358,177,0.0,329,168,0.0,380,179,,,,1,,Alysson Edward Franco,da Rocha dos Santos,Alysson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,3.83,0.0,7.66,0,0,0
